NAMER	GENDER	SOURCES
PAU	A	[15, 2, 4, 5, 8, 2*, 18, 1, 6, 3, 1*]
ERIC	M	[7, 2, 4, 5, 8, 1, 6, 3, 1*]
MARIA CARMEN	F	[1, 2]
CARMEN	F	[11, 12, 15, 17, 2, 4, 5, 8, 2*, 5*, 18, 1, 16, 6, 3, 1*]
ANA MARIA	F	[18, 1, 7, 2]
JOSEFA	F	[7, 12, 15, 2, 4, 5, 8, 19, 18, 1, 16, 6, 3, 18*, 1*]
ISABEL	F	[11, 17, 19, 5, 2*, 1, 16, 3, 9, 7, 12, 15, 4, 8, 18, 6, 2, 1*]
MARIA PILAR	F	[1, 2]
MARIA DOLORES	F	[1, 2]
LAURA	A	[11, 19, 5, 2*, 1, 16, 3, 9, 7, 12, 15, 4, 8, 18, 6, 2, 1*]
MARIA TERESA	F	[1, 7, 2]
ANA	A	[11, 17, 19, 5, 2*, 7*, 1, 16, 3, 9, 7, 12, 15, 4, 18, 6, 2, 18*, 1*]
CRISTINA	A	[11, 5, 2*, 7*, 1, 16, 3, 9, 7, 12, 15, 4, 8, 18, 6, 2, 1*]
MARTA	A	[11, 17, 19, 5, 2*, 1, 16, 3, 9, 7, 12, 15, 4, 8, 18, 6, 2, 1*]
MARIA ANGELES	F	[1, 2]
FRANCISCA	F	[9, 11, 12, 15, 17, 2, 4, 5, 6*, 5*, 18, 1, 16, 6, 3, 1*]
LUCIA	F	[11, 17, 5, 2*, 1, 16, 3, 9, 7, 12, 15, 4, 18, 6, 2, 1*]
MARIA ISABEL	F	[1, 2]
MARIA JOSE	F	[12, 4, 5, 1, 6, 2]
ANTONIA	F	[11, 12, 15, 17, 2, 4, 5, 8, 19, 18, 1, 16, 6, 3, 1*]
DOLORES	A	[11, 7, 12, 15, 17, 2, 4, 5, 2*, 18, 1, 16, 6, 3, 1*]
SARA	A	[11, 17, 19, 5, 2*, 1, 16, 3, 9, 7, 12, 4, 8, 18, 6, 2, 1*]
PAULA	F	[11, 19, 5, 2*, 1, 16, 3, 9, 7, 12, 15, 4, 8, 18, 6, 2, 1*]
ELENA	F	[11, 17, 5, 2*, 1, 16, 3, 7, 12, 15, 4, 8, 18, 6, 2, 1*]
MARIA LUISA	F	[1, 7, 2]
RAQUEL	F	[9, 11, 7, 12, 15, 17, 2, 4, 5, 8, 18, 1, 6, 3, 1*]
ROSA MARIA	F	[1, 2]
PILAR	A	[11, 17, 5, 2*, 1, 16, 3, 9, 7, 12, 15, 4, 8, 18, 6, 2, 1*]
CONCEPCION	A	[9, 11, 7, 12, 17, 4, 5, 1, 16, 6, 3, 1*]
MANUELA	F	[9, 12, 17, 2, 4, 5, 8, 18, 1, 16, 6, 3, 1*]
MARIA JESUS	F	[12, 4, 5, 1, 6, 2]
MERCEDES	A	[9, 11, 12, 15, 17, 2, 4, 5, 1, 16, 6, 3, 1*]
JULIA	A	[11, 19, 5, 2*, 1, 16, 3, 7, 12, 15, 4, 8, 18, 6, 2, 1*]
BEATRIZ	F	[11, 17, 19, 5, 1, 16, 3, 9, 7, 12, 15, 4, 18, 6, 2, 1*]
NURIA	F	[11, 17, 5, 1, 3, 9, 7, 12, 15, 6*, 4, 8, 5*, 18, 4*, 6, 2, 1*]
SILVIA	F	[9, 11, 7, 12, 15, 2, 4, 5, 8, 19, 18, 1, 6, 3, 19*, 1*]
ROSARIO	A	[9, 11, 12, 17, 2, 4, 5, 18, 1, 16, 6, 3, 1*]
JUANA	F	[7, 12, 15, 17, 2, 4, 5, 18, 1, 16, 6, 3, 12*, 1*]
ALBA	F	[11, 17, 19, 5, 2*, 1, 3, 9, 7, 12, 15, 4, 8, 18, 6, 2, 1*]
IRENE	F	[9, 11, 7, 12, 2, 4, 5, 8, 19, 18, 1, 16, 6, 3, 1*]
TERESA	F	[11, 17, 19, 5, 2*, 7*, 1, 16, 3, 9, 7, 12, 15, 4, 8, 18, 6, 2, 1*]
ENCARNACION	A	[9, 12, 17, 2, 4, 5, 18, 1, 16, 6, 3, 1*]
PATRICIA	F	[9, 11, 7, 12, 15, 2, 4, 5, 8, 18, 1, 16, 6, 3, 1*]
MONTSERRAT	A	[9, 11, 7, 12, 2, 4, 5, 8, 2*, 18, 1, 6, 3, 1*]
ANDREA	A	[9, 11, 12, 2, 4, 5, 8, 19, 2*, 5*, 1, 16, 6, 3, 1*]
ROCIO	F	[11, 7, 12, 17, 4, 5, 5*, 18, 1, 4*, 6, 2, 1*]
MONICA	F	[9, 11, 7, 12, 15, 17, 2, 4, 5, 18, 1, 16, 6, 3, 1*]
ROSA	F	[9, 11, 12, 2, 4, 5, 8, 2*, 18, 1, 16, 6, 3, 1*]
ALICIA	F	[9, 11, 7, 12, 15, 17, 2, 4, 5, 8, 18, 1, 6, 3, 1*]
MARIA MAR	F	[1]
SONIA	F	[9, 11, 7, 12, 15, 2, 4, 5, 8, 1, 6, 3, 1*]
SANDRA	F	[11, 7, 12, 2, 4, 5, 8, 1, 6, 3, 1*]
ANGELA	F	[11, 7, 12, 17, 2, 4, 5, 8, 18, 1, 16, 6, 3, 1*]
MARINA	F	[11, 19, 5, 1, 16, 3, 7, 12, 6*, 4, 8, 5*, 18, 4*, 6, 2, 1*]
SUSANA	F	[11, 17, 19, 5, 1, 16, 3, 9, 7, 12, 15, 4, 18, 6, 2, 1*]
NATALIA	F	[9, 11, 7, 12, 15, 17, 2, 5, 8, 18, 1, 16, 6, 3, 1*]
YOLANDA	F	[11, 7, 12, 2, 4, 5, 18, 1, 6, 3, 1*]
MARGARITA	F	[11, 7, 12, 2, 4, 5, 19, 18, 1, 16, 6, 3, 1*]
MARIA JOSEFA	F	[18, 1]
CLAUDIA	F	[9, 11, 7, 12, 2, 4, 5, 8, 2*, 18, 1, 16, 6, 3, 1*]
EVA	F	[11, 7, 12, 2, 4, 5, 8, 19, 2*, 18, 1, 6, 3, 1*]
MARIA ROSARIO	F	[1]
INMACULADA	F	[11, 17, 5, 1, 3, 9, 12, 15, 6*, 4, 5*, 18, 4*, 6, 2, 1*]
SOFIA	F	[11, 17, 19, 5, 2*, 1, 16, 3, 9, 7, 12, 15, 4, 8, 18, 6, 2, 1*]
MARIA MERCEDES	F	[1]
